"hostkey","name","description","department","linkq","size","module","factor","planned_size","duration","weeks","named_availability","activity_type","suggested_time","suggested_time_pattern","suggested_day","preset_staff_number","preset_staff","preset_locations_number","preset_location","preset_suitability","tag","unavailable","usertext1","usertext4"
"008394_1_20_LEC_A","AGRIBUS_Business Mgmt Applied Sci III_1_20_LEC_A","AGRIBUS_3017WT_Business Management for Applied Sciences III_LEC","SCHAG&WINE","0","35","`$008394_1_20$:$0$`","10","35","120","8383239290880","3720_1","LEC_LE","","","","0","","1","","`AV:Echo360`;`Type:Lecture Theatre_02`;`Campus:WAITE`","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"008394_1_20_TUT_A","AGRIBUS_Business Mgmt Applied Sci III_1_20_TUT_A","AGRIBUS_3017WT_Business Management for Applied Sciences III_TUT","SCHAG&WINE","0","35","`$008394_1_20$:$0$`","10","35","60","8383239290880","3720_1","TUT_TU","","","","0","","1","","`Campus:WAITE`;`Type:Computer Pool_08`","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"104989_1_10_TUT_B","AGRIC_Animal & Plant Biochem (VB) II_1_10_TUT_B","AGRIC_2501RW_Animal and Plant Biochemistry (Vet-Bio) II_TUT","SCHAG&WINE","0","20","`$104989_1_10$:$0$`","10","20","60","8339200","3710_1","TUT_TU","","","","0","","1","","`Type:Flat Floor_18`;`Campus:ROSE`","","`$7f3f00$:$7f$:$ffff$:$0$:$480$`;`$fffffff80c0ff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"005230_1_20_LEC_A","PURE MTH_Integration & Analysis III_1_20_LEC_A","PURE MTH_3009_Integration and Analysis III_LEC","MATHSCI","0","25","`$005230_1_20$:$0$`","10","25","60","8383239290880","3720_1","LEC_LE","","","","0","","1","","`AV:Data Projection`;`Campus:NTRCE`;`Type:Flat Floor_18`","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","`PARENT STACK`",""
"005230_1_20_LEC_B","PURE MTH_Integration & Analysis III_1_20_LEC_B","PURE MTH_3009_Integration and Analysis III_LEC","MATHSCI","0","25","`$005230_1_20$:$0$`","10","25","60","8383239290880","3720_1","LEC_LE","","","","0","","1","","`Type:Flat Floor_18`;`Campus:NTRCE`;`AV:Data Projection`","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","`PARENT STACK`",""
"005230_1_20_LEC_C","PURE MTH_Integration & Analysis III_1_20_LEC_C","PURE MTH_3009_Integration and Analysis III_LEC","MATHSCI","0","25","`$005230_1_20$:$0$`","10","25","60","8383239290880","3720_1","LEC_LE","","","","0","","1","","`Type:Flat Floor_18`;`Campus:NTRCE`;`AV:Data Projection`","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","`PARENT STACK`",""
"106184_1_10_LEC_C","MEDIC ST_Medical Home Unit Part 1_1_10_LEC_C","MEDIC ST_4015AHO_Medical Home Unit Part 1_LEC","MEDICINE","0","15","`$106184_1_10$:$0$`","10","15","120","1048572","3710_FY1_MEU Yr 5","LEC_LE","","","","0","","0","","`Type:Lecture Theatre_02`;`Campus:NTRCE`","","`$ffffc$:$7f$:$ffff$:$0$:$480$`;`$ffffffff00003$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"106185_1_20_LEC_C","MEDIC ST_Medical Home Unit Part 2_1_20_LEC_C","MEDIC ST_4015BHO_Medical Home Unit Part 2_LEC","MEDICINE","0","15","`$106185_1_20$:$0$`","10","15","120","2199014866944","3720_FY2_MEU Yr 5","LEC_LE","","","","0","","0","","`Campus:NTRCE`;`Type:Flat Floor_18`","","`$1ffff800000$:$7f$:$ffff$:$0$:$480$`;`$ffe00007fffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"100497_1_10_LAB_B","ORALHLTH_Clinical Practice IOH Part 1_1_10_LAB_B","ORALHLTH_1202AHO_Clinical Practice IOH Part 1_LAB","ORALHLTH","0","38","`$100497_1_10$:$0$`","10","38","180","32256","","LAB_LA","540","16515072","1","0","","1","","`Type:Laboratory_06`","","`$fffffffff81ff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"006378_1_10_TUT_A","COMP SCI_Artificial Intelligence UG_1_10_TUT_A","COMP SCI_3007_Artificial Intelligence_TUT","COMPSCI","0","25","`$006378_1_10$:$0$`","10","25","60","666112","3710_1_SW10EW20 Alt","TUT_TU","","","","0","","1","","`Campus:NTRCE`;`Type:Flat Floor_18`","","`$a2a00$:$7f$:$ffff$:$0$:$480$`;`$ffffffff5d5ff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"009516_1_10_TUT_A","COMP SCI_Artificial Intelligence PG_1_10_TUT_A","COMP SCI_7059_Artificial Intelligence_TUT","COMPSCI","0","10","`$009516_1_10$:$0$`","10","10","60","666112","3710_1_SW10EW20 Alt","TUT_TU","","","","0","","1","","`Campus:NTRCE`;`Type:Flat Floor_18`","","`$a2a00$:$7f$:$ffff$:$0$:$480$`;`$ffffffff5d5ff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"105008_1_20_COM_A","CHEM ENG_Advanced Process Modelling_1_20_COM_A","CHEM ENG_2013_Advanced Process Modelling_COM","CHEMENG","0","40","`$105008_1_20$:$0$`","10","40","120","17179332313088","3720_1_Wk13","COM_CO","","","","1","","1","","`Area:EngCATSuites`","","`$f9fe0000000$:$7f$:$ffff$:$0$:$480$`;`$ff0601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"106191_1_20_CLN_A","MEDIC ST_Musculoskeletal Medicine Pt 2_1_20_CLN_A","MEDIC ST_4018BHO_Musculoskeletal Medicine Part 2_CLN","MEDICINE","0","100","`$106191_1_20$:$0$`","10","100","240","2199014866944","3720_FY2_MEU Yr 5","CLN_CL","","","20","0","","0","","`Type:Laboratory_06`;`Campus:NTRCE`","","`$1ffff800000$:$7f$:$ffff$:$0$:$480$`;`$ffe00007fffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"106191_1_20_CLN_B","MEDIC ST_Musculoskeletal Medicine Pt 2_1_20_CLN_B","MEDIC ST_4018BHO_Musculoskeletal Medicine Part 2_CLN","MEDICINE","0","100","`$106191_1_20$:$0$`","10","100","240","2199014866944","3720_FY2_MEU Yr 5","CLN_CL","780","17112760320","16","0","","1","`10547`","`Campus:NTRCE`;`Type:Laboratory_06`","","`$1ffff800000$:$7f$:$ffff$:$0$:$480$`;`$ffe00007fffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"106191_1_20_CLN_C","MEDIC ST_Musculoskeletal Medicine Pt 2_1_20_CLN_C","MEDIC ST_4018BHO_Musculoskeletal Medicine Part 2_CLN","MEDICINE","0","100","`$106191_1_20$:$0$`","10","100","120","2199014866944","3720_FY2_MEU Yr 5","CLN_CL","570","7864320","4","0","","1","","`Type:Laboratory_06`;`Campus:NTRCE`","","`$1ffff800000$:$7f$:$ffff$:$0$:$480$`;`$ffe00007fffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"106191_1_20_CLN_D","MEDIC ST_Musculoskeletal Medicine Pt 2_1_20_CLN_D","MEDIC ST_4018BHO_Musculoskeletal Medicine Part 2_CLN","MEDICINE","0","100","`$106191_1_20$:$0$`","10","100","180","2199014866944","3720_FY2_MEU Yr 5","CLN_CL","","","","0","","1","","`Campus:HOSP`","","`$1ffff800000$:$7f$:$ffff$:$0$:$480$`;`$ffe00007fffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"106555_1_20_PRA_A","MEDIC ST_Emerg Dept Intern VI Pt 2_1_20_PRA_A","MEDIC ST_6017BHO_Emergency Department Internship VI Part 2_PRA","MEDICINE","0","190","`$106555_1_20$:$0$`","10","190","240","17592118935552","","PRA_PR","","","","0","","1","`10776`","`Type:Laboratory_06`;`Campus:NTRCE`","","`$ffffc000000$:$7f$:$ffff$:$0$:$480$`;`$ff00003ffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"106555_1_20_PRA_B","MEDIC ST_Emerg Dept Intern VI Pt 2_1_20_PRA_B","MEDIC ST_6017BHO_Emergency Department Internship VI Part 2_PRA","MEDICINE","0","190","`$106555_1_20$:$0$`","10","190","180","17592118935552","","PRA_PR","","","","0","","1","`10776`","`Campus:NTRCE`;`Type:Laboratory_06`","","`$ffffc000000$:$7f$:$ffff$:$0$:$480$`;`$ff00003ffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"106555_1_20_PRA_C","MEDIC ST_Emerg Dept Intern VI Pt 2_1_20_PRA_C","MEDIC ST_6017BHO_Emergency Department Internship VI Part 2_PRA","MEDICINE","0","190","`$106555_1_20$:$0$`","10","190","180","17592118935552","","PRA_PR","","","","0","","1","`10776`","`Type:Laboratory_06`;`Campus:NTRCE`","","`$ffffc000000$:$7f$:$ffff$:$0$:$480$`;`$ff00003ffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
"106555_1_20_PRA_D","MEDIC ST_Emerg Dept Intern VI Pt 2_1_20_PRA_D","MEDIC ST_6017BHO_Emergency Department Internship VI Part 2_PRA","MEDICINE","0","190","`$106555_1_20$:$0$`","10","190","180","17592118935552","","PRA_PR","","","","0","","1","`10776`","`Type:Laboratory_06`;`Campus:NTRCE`","","`$ffffc000000$:$7f$:$ffff$:$0$:$480$`;`$ff00003ffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``",""
