"hostkey","name","description","department","usertext1","usertext4"
"*Booking_Excl_TT","Booking_Excluded _From_TT","Booking for teaching to be excluded from Timetable Build","PROPSERV","``",""
"AUR_AU","Aural","Aural","UNIAD","``",""
"JPF_JP","Jazz Performance Forum","Jazz Performance Forum","UNIAD","``",""
"TEC_TE","Technique/Repertoire","Technique/Repertoire","UNIAD","``",""
"SGD_SG","Small Group Discovery","Small Group Discovery","UNIAD","``",""
"*Booking_Ext_Prov","Booking_Ext_Prov","External Provisional Booking","PROPSERV","``",""
"*Booking_Ext_App","Booking_Ext_App","External Provisional Booking","PROPSERV","``",""
"*Booking_Block","Booking_Block","Block Booking","PROPSERV","``",""
"CBL_CB","Case Based Learning","Case Based Learning","UNIAD","``",""
"*WRB_AC","WRB-ACTIVE","","","``",""
"*WRB_PR","WRB-PROVISIONAL","","","``",""
"*WRB_CA","WRB-CANCELLED","","","``",""
"BND_BD","Band","Band","UNIAD","``",""
"CPF_CP","Classical Performance Forum","Classical Performance Forum","UNIAD","``",""
"PEF_PM","Performance Forum","Performance Forum","UNIAD","``",""
"PAP_PA","Paper","Paper","UNIAD","``",""
"TPR_TP","Teaching Practice","Teaching Practice","UNIAD","``",""
"LEC_LE","Lecture","Lecture","UNIAD","``",""
"TUT_TU","Tutorial","Tutorial","UNIAD","``",""
"CEX_CE","Class Exercise","Class Exercise","UNIAD","``",""
"COM_CO","Computer Exercise","Computer Exercise","UNIAD","``",""
"PRA_PR","Practical","Practical","UNIAD","``",""
"PJT_PJ","Project","Project","UNIAD","``",""
"TTN_TT","Tuition","Tuition","UNIAD","``",""
"WRK_WR","Workshop","Workshop","UNIAD","``",""
"STU_ST","Studio","Studio","UNIAD","``",""
"SEM_SE","Seminar","Seminar","UNIAD","``",""
"IND_IN","Independent Study","Independent Study","UNIAD","``",""
"DST_DS","Dissertation","Dissertation","UNIAD","``",""
"THE_TH","Thesis","Thesis","UNIAD","``",""
"UNS_UN","Unspecified","Unspecified","UNIAD","``",""
"CLN_CL","Clinical","Clinical","UNIAD","``",""
"CMG_CM","Class Meeting","Class Meeting","UNIAD","``",""
"LAB_LA","Laboratory","Laboratory","UNIAD","``",""
"PFM_PF","Performance","Performance","UNIAD","``",""
"RSL_RS","Rehearsal","Rehearsal","UNIAD","``",""
"SUP_SU","Supervision","Supervision","UNIAD","``",""
"FLD_FL","Fieldwork","Fieldwork","UNIAD","``",""
"RPT_RP","Repertoire","Repertoire","UNIAD","``",""
"PBL_PB","PBL Session","PBL Session","UNIAD","``",""
"RES_RE","Resource Session","Resource Session","UNIAD","``",""
"PLA_PL","Placement","Placement","UNIAD","``",""
"RHY_RH","Rhythm Class","Rhythm Class","UNIAD","``",""
"CHO_CH","Choir","Choir","UNIAD","``",""
"*Booking_Cancelled","Booking_Cancelled","Cancelled Booking","PROPSERV","``",""
"*Booking_Int_App","Booking_Int_App","Internal Approved Booking","PROPSERV","``",""
"*Booking_Int_Prov","Booking_Int_Prov","Internal Provisional Booking","PROPSERV","``",""
