"hostkey","name","description","department","usertext1","usertext4"
"ACPFG","Aust Cen Plant Funct Genomics","Australian Centre for Plant Function Genomics","SCHAG&WINE","``",""
"UNIAD","Adelaide University","University of Adelaide","UNIAD","``",""
"PROFESSION","Faculty of Professions","Faculty of Professions","UNIAD","``",""
"ECIC","Entrepren, Comm & Innov Centre","Entrepreneurship, Commercialisation & Innov Centre","PROFESSION","``",""
"ENGMATHFO","Eng,Comp Sci & Math Fac Admin","Engineering, Computer Sc & Math Faculty Admin","ENG&MATHS","``",""
"ECONOMICSS","School of Economics","School of Economics","PROFESSION","``",""
"EDUCS","School of Education","School of Education","HUM&SOCSCI","``",""
"ENG&MATHS","Fac Eng, Comp & Math Sci","Faculty of Engineering, Computer and Math Sciences","UNIAD","``",""
"HLTHSCFO","Hlth & Med Sci Faculty Office","Health and Medical Sciences Faculty Office","HEALTHSCI","``",""
"INTOFF","International Office(Inactive)","International Office (Inactive)","","``",""
"PROFFO","Professions Office","Professions Office","PROFESSION","``",""
"RURALHLTH","Adelaide Rural Clinical School","Adelaide Rural Clinical School","SCHMEDIC","``",""
"SAPAC","eResearch SA","eResearch SA","DVCR","``",""
"SCHAG&WINE","Sch Agriculture, Food & Wine","School of Agriculture, Food and Wine","SCIENCE","``",""
"SCHHUMS","School of Humanities","School of Humanities","HUM&SOCSCI","``",""
"SCHSOCSCI","Sch of Social Sciences","School of Social Sciences","HUM&SOCSCI","``",""
"SCINCESFO","Sciences Office","Sciences Office","SCIENCE","``",""
"UWA","University of Western Aust.","University of Western Australia","UNIAD","``",""
"CASM","CASM","Centre for Aboriginal Studies in Music","ELDERCON","``",""
"ENVIR INST","Environment Institute","Environment Institute","UNIAD","``",""
"IMER","Inst for Minerals & Energy Res","Institute for Minerals and Energy Resources","UNIAD","``",""
"IPAS","Inst for Photo & Adv Sensing","Institute for Photonics and Advanced Sensing","UNIAD","``",""
"PHIDU","Public Health Info Dev Unit","Public Health Information Development Unit","SCHSOCSCI","``",""
"WAITE INST","Waite Institute","Waite Institute","UNIAD","``",""
"HURSU","Ctr for HU&RP","Centre for Housing, Urban and Regional Planning","SCHSOCSCI","``",""
"YPIHU","Yaitya Purruna IHU","Yaitya Purruna Indigenous Health Unit","HLTHSCFO","``",""
"ECMSRESCTR","ECMS Research Centres","ECMS Research Centres","UNIAD","``",""
"AISR","APMRC","Australian Population & Migration Research Centre","SCHSOCSCI","``",""
"ICFS","Int Ctr for Financial Services","International Centre for Financial Services","PROFESSION","``",""
"PETENG","Petroleum Engineering","Petroleum Engineering","PETROL","``",""
"PETSCI","Petroleum Science","Petroleum Science","PETROL","``",""
"REPROD MED","Robinson Foundation","Robinson Foundation","UNIAD","``",""
"TRCMM","Teletraffic Res Ctr Math Mod","Teletraffic Research Ctr for Math Modelling","ENG&MATHS","``",""
"AGRISCI","Agricultural Science","Agricultural Science","SCHAG&WINE","``",""
"EARTHSCI","Earth Science","Earth Science","SCHPHYSCI","``",""
"ECO&ENVSCI","Ecology& Environmental Science","Ecology and Environmental Science","SCHBIOSCI","``",""
"FOOD&WINE","Food & Wine Science","Food & Wine Science","SCHAG&WINE","``",""
"GENGEN&EVO","Genetics,Genomics & Evolution","Genetics,Genomics & Evolution","SCHBIOSCI","``",""
"MOL&CELBIO","Molecular & Cellular Biology","Molecular & Cellular Biology","SCHBIOSCI","``",""
"PLASCI","Plant Science","Plant Science","SCHAG&WINE","``",""
"SCHBIOSCI","School of Biological Sciences","School of Biological Sciences","SCIENCE","``",""
"SCHPHYSCI","School of Physical Sciences","School of Physical Sciences","SCIENCE","``",""
"SCHMEDIC","Adelaide Medical School","Adelaide Medical School","HEALTHSCI","``",""
"SCHPHCP","School of Public Health","School of Public Health","HEALTHSCI","``",""
"SCHPSYCHOL","School of Psychology","School of Psychology","HEALTHSCI","``",""
"DVC&P","Deputy VC & VP (Academic)","Deputy Vice-Chancellor & Vice-President (Academic)","UNIAD","``",""
"DVCR","Deputy VC & VP (Research)","Deputy Vice-Chancellor & Vice-President (Research)","UNIAD","``",""
"MATHSCI","Mathematical Sciences School","School of Mathematical Sciences","ENG&MATHS","``",""
"STATS","Statistics","Statistics","MATHSCI","``",""
"DENTAL","Dental","Dental","DENTALSCH","``",""
"MEDSCI","Medical Sciences","Medical Sciences","SCHMEDIC","``",""
"MEDSPEC","Medical Specialties","Medical Specialties","SCHMEDIC","``",""
"ORALHLTH","Oral Health","Oral Health","DENTALSCH","``",""
"PAED&REPRO","Paeds & Repro Hlth","Paeds & Repro Hlth","SCHMEDIC","``",""
"SINGNURS","Ngee Ann Nursing Prg Singapore","Ngee Ann Nursing Program Singapore","CLINNURSE","``",""
"SURGSPEC","Surgical Specialties","Surgical Specialties","SCHMEDIC","``",""
"ARTHIST","Art History","Art History","SCHHUMS","``",""
"SCHMARKMGT","Sch of Marketing & Management","School of Marketing and Management","UNIAD","``",""
"SCHACCFIN","Sch of Accounting & Finance","School of Accounting and Finance","UNIAD","``",""
"CLASSICS","Classics.Arch&AncientHist","Classics, Archaeology and Ancient History","SCHHUMS","``",""
"FRENCHSTUD","French Studies","French Studies","SCHHUMS","``",""
"GERMANSTUD","German Studies","German Studies","SCHHUMS","``",""
"LINGUISTIC","Linguistics","Linguistics","SCHHUMS","``",""
"MEDIA","Media","Media","SCHHUMS","``",""
"BUSSCH","Uni of Adelaide Business Sch","University of Adelaide Business School","PROFESSION","``",""
"LQS","Learning & Quality Support","Learning & Quality Support","PVC L&Q","``",""
"OFS","Off for Future Students(Inac))","Office for Future Students(Inactive)","","``",""
"P&PR","Planning and Analytics","Planning and Analytics","DFIN&INFRA","``",""
"PVC INTL","PVC (International)","PVC (International)","DVC&P","``",""
"JBI","Joanna Briggs Inst","Joanna Briggs Institute","SCHPHCP","``",""
"SPANISH","Spanish Studies","Spanish Studies","SCHHUMS","``",""
"SCHVETSCI","Sch of Animal & Veterinary Sci","School of Animal and Veterinary Sciences","SCIENCE","``",""
"ITS","Information Technology Serv","Information Technology Services","DFIN&INFRA","``",""
"UNILIB","University Libraries","University Libraries","DVC&P","``",""
"SR&AS","Student Recruitment & Adm Svcs","Student Recruitment and Admissions Services","DVC&P","``",""
"CLR","WISeR","Aust Workplace Innovation & Social Research Ctr","SCHSOCSCI","``",""
"CONF INST","Confucius Institute","Confucius Institute","UNIAD","``",""
"ELU","Endangered Languages Unit","Endangered Languages Unit","UNIAD","``",""
"LOCUSAR","LocuSAR","LocuSAR","UNIAD","``",""
"IBEL","Inst for International Trade","Institute for International Trade","PROFESSION","``",""
"GFS","Ctr Global Food & Resources","Centre for Global Food & Resources","PROFESSION","``",""
"CMVH","Ctr Traumatic Stress Studies","Centre for Traumatic Stress Studies","SCHMEDIC","``",""
"PVC L&Q","PVC (Student Learning)","Pro Vice-Chancellor (Student Learning)","DVC&P","``",""
"STUD SERV","Student Admin Services","Student Administrative Services","DVC&P","``",""
"ARTS","Arts Faculty Office","Arts Faculty Office","HUM&SOCSCI","``",""
"LAWS","Adelaide Law School","Adelaide Law School","PROFESSION","``",""
