"hostkey","name","description","department","linkq","size","planned_size","weeks","named_availability","tag","unavailable","usertext1","usertext4","programme"
"008394_1_20","AGRIBUS_Business Mgmt Applied Sci III_1_20","AGRIBUS_3017WT_Business Management for Applied Sciences III","SCHAG&WINE","0","35","35","8383239290880","3720_1","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
"106191_1_20","MEDIC ST_Musculoskeletal Medicine Pt 2_1_20","MEDIC ST_4018BHO_Musculoskeletal Medicine Part 2","MEDICINE","0","180","180","2199014866944","3720_FY2_MEU Yr 5","","`$1ffff800000$:$7f$:$ffff$:$0$:$480$`;`$ffe00007fffff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
"106555_1_20","MEDIC ST_Emerg Dept Intern VI Pt 2_1_20","MEDIC ST_6017BHO_Emergency Department Internship VI Part 2","MEDICINE","0","190","190","17592169267200","3720_FY2_MEU Yr 6a","","`$fffff000000$:$7f$:$ffff$:$0$:$480$`;`$ff00000ffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
"106623_1_10","ABORIG_Stud in Soc Science A_1_10","ABORIG_  29_Studies in Social Sciences A","WILTOYERLO","0","20","20","8339200","3710_1","","`$7f3f00$:$7f$:$ffff$:$0$:$480$`;`$fffffff80c0ff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
"106624_1_20","ABORIG_Stud in Soc Science B_1_20","ABORIG_  30_Studies in Social Sciences B","WILTOYERLO","0","20","20","8383239290880","3720_1","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
"106627_1_20","ABORIG_Stud in Humanities B (Pt Aug)_1_20","ABORIG_  32_Studies in Humanities B (Pt Augusta)","WILTOYERLO","0","20","20","8383239290880","3720_1","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
"106629_1_10","ABORIG_Stud in Soc Science A (Pt Aug)_1_10","ABORIG_  33_Studies in Social Sciences A (Pt Augusta)","WILTOYERLO","0","20","20","8339200","3710_1","","`$7f3f00$:$7f$:$ffff$:$0$:$480$`;`$fffffff80c0ff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
"106630_1_20","ABORIG_Stud in Soc Science B (Pt Aug)_1_20","ABORIG_  34_Studies in Social Sciences B (Pt Augusta)","WILTOYERLO","0","20","20","8383239290880","3720_1","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
"106631_1_10","MUSONIC_Music Technology Foundations_1_10","MUSONIC_1000_Music Technology Foundations","ELDERCON","0","100","100","4144896","3710_1_12","","`$fffffffc0c0ff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
"106631_1_20","MUSONIC_Music Technology Foundations_1_20","MUSONIC_1000_Music Technology Foundations","ELDERCON","0","30","30","8383239290880","3720_1","","`$ff8601fffffff$:$7f$:$fffffffffff$:$0$:$1320$`","``","",""
